"","Genotype","name","country","latitude","longitude","altitude","ER","BTDAY"
"1",6009,"Eden-1","SWE",62.877,18.177,90,1.624664016,98.62910899
"6",6074,"Ör-1","SWE",56.4573,16.1308,2,1.830392554,102.75
"11",6177,"TÄL 03","SWE",62.6322,17.69,137,NA,97.77196613
"16",6184,"TBÖ 01","SWE",62.8892,18.4522,21,NA,100.0576804
"21",6209,"TEDEN 02","SWE",62.8836,18.1842,90,NA,106.3433947
"26",6244,"TRÄ 01","SWE",62.9169,18.4728,65,NA,78.75
"31",6897,"Ag-0","FRA",45,1.3,NA,2.05273804,63.625
"36",6898,"An-1","BEL",51.2167,4.4,5,0.267065415,63.875
"41",6911,"Cvi-0","CPV",15.1111,-23.6167,270,1.667347937,34.25
"46",6915,"Ei-2","GER",50.3,6.3,513,3.039983546,51.875
"51",6958,"Ra-0","FRA",46,3.3,316,2.382852666,41.25
"56",6959,"Rennes-1","FRA",48.5,-1.41,89,2.435982725,59.5
"61",6970,"Ts-1","ESP",41.7194,2.93056,116,3.389676678,49.625
"66",7092,"Com-1","FRA",49.416,2.823,45,2.572180778,46.75
"71",7213,"Ler-0","GER",47.984,10.8719,630,NA,28.375
"76",7298,"Pi-0","AUT",47.04,10.51,2395,NA,NA
"81",7382,"Utrecht","NED",52.0918,5.1145,4,NA,38.625
"86",8240,"Kulturen-1","SWE",55.705,13.196,26,2.938885105,79.5
"91",8311,"In-0","AUT",47.5,11.5,1476,NA,64.59446342
"96",8357,"Pla-0","ESP",41.5,2.25,145,2.826744848,55.25
"101",8376,"Sanna-2","SWE",62.69,18,78,1.647749698,NA
"106",9057,"Vinslöv","SWE",56.1,13.9167,22,2.443690069,61.5
"111",9470,"Tur-4","SWE",57.6511,14.8043,273,NA,82.62910899
"116",9507,"IP-Coa-0","POR",38.45,-7.5,190,NA,NA
"121",9537,"IP-Cum-1","ESP",38.07,-6.66,596,NA,NA
"126",9544,"IP-Gua-1","ESP",39.4,-5.33,694,NA,56.625
"131",9549,"IP-Hum-2","ESP",42.23,-3.69,903,NA,NA
"136",9600,"IP-Vis-0","ESP",39.85,-6.04,338,NA,NA
"141",9943,"Cdm-0","ESP",39.73,-5.74,444,NA,62
"146",9947,"Ped-0","ESP",40.74,-3.9,1007,NA,104.875
