name;leaf area mm2
2;270,16
3;238,21
4;696,26
5;560,18
6;271,96
7;258,6
8;337,68
9;924,23
10;327,48
11;997,84
12;869,42
13;996,04
14;442,46
15;393,02
16;352,14
17;715,21
19;843,91
23;147,18
24;954,89
28;432,72
29;332,7
30;219,97
31;941,45
33;588,41
34;968,69
35;988,48
36;939,57
37;934,14
38;111,13
40;695,84
41;548,66
42;794,29
43;809,11
44;883,42
45;957,82
46;817,21
47;928,07
48;379,3
49;521,75
50;569,56
52;1107,55
55;787,73
56;717,42
57;310,49
58;648,6
59;194,02
60;206,08
61;768,45
62;821,04
63;1224,09
64;814,63
65;259,19
66;821,51
67;328,89
68;797,32
69;527,96
71;554,09
72;205,31
73;194,22
74;933,96
75;385,17
76;119,49
77;1018,48
78;231,52
79;330,08
80;328,52
81;342,42
82;220,76
83;138,79
84;180,77
85;103,35
86;964,95
87;664,63
88;665,65
89;314,53
90;514,13
91;301,33
92;851,31
93;247,32
94;1100,64
95;1013,14
96;527,11
97;710,69
99;880,51
100;169,65
101;344,46
103;179,81
104;1028,01
106;289,07
108;1245,88
109;477,33
110;1055,86
111;432,65
112;1138,6
113;365,52
114;1079,6
116;776,88
117;615,37
118;842,77
119;221,04
120;404,61
121;433,38
122;261,49
123;296,36
124;488,39
125;721,33
126;218,62
127;1091,37
128;235,05
129;296,7
130;870,74
131;1025,93
132;769,6
133;1050,01
134;180,41
135;257,39
136;378,21
138;685,49
139;420,6
140;1280,24
141;233,92
142;334,15
143;671,04
144;337,21
145;922,33
146;100,3
147;953,82
148;1350,89
149;1218,87
150;318,49
151;966,51
153;241,17
155;213,86
156;277,74
157;705,84
158;583,96
159;496,1
161;807,44
162;832,99
163;378,24
164;112,29
165;892,8
167;175,45
168;354,19
169;714,48
170;1165,14
172;348,67
173;836,03
174;264,78
175;258,46
176;406,83
177;971,61
178;806,5
179;696,96
180;210,97
181;645,22
182;985
183;955,83
184;1014,08
185;341,15
186;664,98
187;314,75
188;789,83
189;913,76
190;164,79
191;459,47
192;305,6
193;322,31
195;1068,9
196;593,17
197;906,81
198;318,46
199;1202,49
200;929,01
201;938,69
202;229,72
203;947,57
204;960,02
205;165,03
206;524,2
207;416,96
208;594,62
209;684,88
210;267,76
211;181,1
212;706,26
213;676,37
214;814,11
215;226,27
217;1175,62
218;342,69
219;859,65
220;792,33
221;282,28
222;785,51
223;306,41
224;187,6
225;1053,94
226;881,12
227;248,75
228;988,9
229;374,27
230;359,31
233;888,67
234;861,55
235;912,67
236;983,71
237;355,49
238;283,81
239;282,65
240;222,25
242;712,99
243;898,35
244;839,99
245;1042,15
246;485,93
247;399,03
248;348,85
249;941,35
250;258,11
251;410,77
252;196,41
253;1268,51
254;741,99
255;853,79
257;302,46
258;240,26
259;474,26
260;235,56
261;388,25
263;283,64
264;484,35
265;609,51
266;889,17
267;303,36
268;353,69
269;103,88
270;622,14
271;915,78
273;850,43
275;936,7
276;214,72
277;258,4
278;411,04
279;268,43
280;668,54
282;314,98
284;1123,3
285;858,83
287;270,28
288;300,47
289;461,31
290;328,96
291;934,07
292;102,84
293;279,92
294;928,96
295;793,51
296;362,59
297;789,72
298;667,17
299;366,59
300;831,86
301;755,21
303;84,52
304;825,26
305;1147,03
307;538,23
308;164,99
309;231,75
310;1010,93
311;1058,83
312;1305,11
313;708,61
314;154,13
315;539,32
316;1004,19
317;369,31
318;342,17
319;1068,47
320;327,22
321;1001,87
322;1249,16
323;863,12
324;1142,58
325;1048,37
326;450,69
328;409,2
329;252,4
330;172,59
331;1028,33
332;761,85
333;1200,81
334;872,81
335;807,98
336;1283,77
337;299,64
338;308,82
339;754,37
340;846,24
341;543,74
342;981,42
343;477,76
344;174,91
345;1008,25
346;1305,11
347;319,77
348;913,23
349;618,35
350;913,96
351;1133,79
353;187,53
354;910,04
355;867,17
356;325,36
357;794,69
358;365,88
359;1038,59
361;514,54
362;94,9
363;823,59
364;731,97
365;673,27
368;798,52
369;913,55
370;1069,58
371;117,46
372;300,62
373;295,37
374;388,13
375;1174,68
376;808
377;293,55
378;230,67
379;279,22
380;302,28
381;570,27
382;306,39
383;825,89
384;272,81
385;353,15
386;384,07
387;895,33
388;839,77
389;269,45
390;919,66
391;775,77
392;1029,39
393;280,92
394;359,66
395;1021,79
396;927,58
397;430,92
398;769,14
399;910,48
400;121,79
401;433,99
403;939,75
404;368,61
406;292,07
407;887,01
408;220,84
409;391,46
412;1011,43
413;1187,5
414;973,54
415;356,05
416;209
417;283,08
418;386,36
419;283,65
420;1004,82
421;486,38
422;362,23
424;932,99
425;770,67
426;233,22
427;1139,66
428;214,42
429;220,9
430;1227,94
431;1162,85
432;293,16
433;1136,23
434;265,81
435;1044,64
436;389,65
437;326
438;520,24
440;155,2
441;242,22
442;122,32
443;814,13
444;656,31
445;110,22
446;89,02
449;240,36
450;1003,65
451;1137,49
452;653,88
453;125,14
455;315,56
456;668,96
457;402,26
458;1290,61
459;759,44
461;261,65
462;238,46
463;944,66
464;727,21
465;240,55
466;295,85
467;810,44
468;1265,17
469;301,83
470;746,14
471;295,7
472;226,51
473;402,85
474;112,33
475;274,03
477;337,72
478;1223,81
479;304,98
480;387,28
481;554,27
482;460,28
483;953,85
484;299,36
485;198,72
486;481,24
488;1038,22
489;1186,52
491;350,62
494;710,56
495;296,51
496;300,77
497;278,7
498;315,75
499;912,18
500;746,3
502;1313,35
503;331,56
504;294,48
